Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
203,1781587269910,3204,3204,3204,3204,3204,3204,3204,3204,50,55,60.000003814697266,76.19047546386719,33.333335876464844,23.809524536132813,10,5,4.7695698738098145,8589934592,3221225472,6810304512,2252734464
202,1781587270114,3204,3204,3204,3204,3204,3204,3204,3204,50,65,40,38.095237731933594,14.285715103149414,0,0,0,4.7695698738098145,8589934592,3221225472,6752616448,2252734464
200,1781587270317,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,30.000001907348633,45,30.000001907348633,0,4.761904716491699,0,0,6.847274303436279,8589934592,3221225472,6732546048,2252734464
200,1781587270517,3204,3204,3204,3204,3204,3204,3204,3204,50,35,33.333335876464844,30.000001907348633,4.761904716491699,0,0,0,6.847274303436279,8589934592,3221225472,6742048768,2252734464
204,1781587270718,3204,3204,3204,3204,3204,3204,3204,3204,40,38.095237731933594,25,20,5,0,0,0,6.847274303436279,8589934592,3221225472,6764560384,2252734464
204,1781587270923,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,45,45,31.57894515991211,52.38095474243164,15.000000953674316,15.000000953674316,5,6.847274303436279,8589934592,3221225472,6739001344,2252734464
204,1781587271127,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,80,76.19047546386719,71.42857360839844,65,60.000003814697266,50,47.619049072265625,6.847274303436279,8589934592,3221225472,6739001344,2252734464
200,1781587271332,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,45,40,42.85714340209961,25,13.636363983154297,9.090909004211426,4.761904716491699,7.551150321960449,8589934592,3221225472,6739001344,2252734464
204,1781587271533,3204,3204,3204,3204,3204,3204,3204,3204,50,47.619049072265625,52.6315803527832,40,15.000000953674316,5.263157844543457,0,0,7.551150321960449,8589934592,3221225472,6739001344,2252734464
204,1781587271738,3204,3204,3204,3204,3204,3204,3204,3204,25,15.789472579956055,19.047618865966797,20,35,23.809524536132813,9.523809432983398,5,7.551150321960449,8589934592,3221225472,6733660160,2252734464
203,1781587271943,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,38.095237731933594,30.000001907348633,25,45,28.571430206298828,10.526315689086914,5,7.551150321960449,8589934592,3221225472,6699352064,2252734464
204,1781587272147,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,14.285715103149414,14.285715103149414,5,4.761904716491699,0,4.545454502105713,0,7.551150321960449,8589934592,3221225472,6699352064,2252734464
201,1781587272352,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,10.526315689086914,14.285715103149414,14.285715103149414,0,0,0,0,5.334255218505859,8589934592,3221225472,6699352064,2252734464
203,1781587272554,3204,3204,3204,3204,3204,3204,3204,3204,25,25,21.052631378173828,15.000000953674316,100,20,4.761904716491699,9.523809432983398,5.334255218505859,8589934592,3221225472,6699352064,2252734464
204,1781587272757,3204,3204,3204,3204,3204,3204,3204,3204,14.285715103149414,9.523809432983398,5,4.761904716491699,0,0,0,80,5.334255218505859,8589934592,3221225472,6644039680,2252734464
204,1781587272962,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,26.3157901763916,23.809524536132813,20,25,20,0,0,5.334255218505859,8589934592,3221225472,6748258304,2252734464
204,1781587273168,3204,3204,3204,3204,3204,3204,3204,3204,35,30.000001907348633,20,15.000000953674316,0,0,0,0,5.334255218505859,8589934592,3221225472,6751158272,2252734464
204,1781587273373,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,9.523809432983398,5,4.761904716491699,0,0,0,0,6.660450458526611,8589934592,3221225472,6752256000,2252734464
203,1781587273577,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,14.285715103149414,10,5.263157844543457,0,0,0,0,6.660450458526611,8589934592,3221225472,6753550336,2252734464
201,1781587273781,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,45,42.85714340209961,40.90909194946289,33.333335876464844,35,9.523809432983398,10,6.660450458526611,8589934592,3221225472,6759809024,2252734464
